PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,PGN_partial,Move_numbers,correct_moves,puzzle_solved,total_moves,accuracy_percentage,error,aggressive_move,positional_move,neutral_move,final_consensus_move,debate_history,single_model_response,single_model_move,single_model_prompt_tokens,single_model_completion_tokens,single_model_total_tokens,single_model_model,single_model_finish_reason,moderator_decision,judge_decision,debate_v2_history,aggressive_prompt_tokens,aggressive_completion_tokens,aggressive_total_tokens,aggressive_model,aggressive_finish_reason,aggressive_response,positional_prompt_tokens,positional_completion_tokens,positional_total_tokens,positional_model,positional_finish_reason,positional_response,neutral_prompt_tokens,neutral_completion_tokens,neutral_total_tokens,neutral_model,neutral_finish_reason,neutral_response,moderator_prompt_tokens,moderator_completion_tokens,moderator_total_tokens,moderator_model,moderator_finish_reason,moderator_response,judge_prompt_tokens,judge_completion_tokens,judge_total_tokens,judge_model,judge_finish_reason,judge_response,total_prompt_tokens,total_completion_tokens,total_tokens,estimated_cost_usd,self_consistency_total_prompt_tokens,self_consistency_total_completion_tokens,self_consistency_total_tokens,debate_total_prompt_tokens,debate_total_completion_tokens,debate_total_tokens,single_model_total_prompt_tokens,single_model_total_completion_tokens,prompt_token_log,self_consistency_prompt_log,debate_prompt_log,single_model_prompt_log,planned_sequences,debate_rounds,early_consensus,single_model_fallback,both_models_failed,debate_success,final_reason,supported_side,board_fen,played_plies,current_turn,is_white_to_move,user_prompt,system_prompt
j6VPW,r4rk1/3b2bp/4p1p1/1Pqp4/P1pN1P1P/2N1Q1P1/5K2/1R1R4 w - - 5 37,d4f3 c5e3 f2e3 g7c3,1822,76,93,3424,crushing master middlegame short,https://lichess.org/e5y42KZJ#73,,"[Event ""rated blitz game""]
[Site ""https://lichess.org/e5y42KZJ""]
[Date ""2021.03.16""]
[Round ""?""]
[White ""jacobomelendez""]
[Black ""santri_desa""]
[Result ""0-1""]
[GameId ""e5y42KZJ""]
[UTCDate ""2021.03.16""]
[UTCTime ""15:32:50""]
[WhiteElo ""2220""]
[BlackElo ""2191""]
[WhiteRatingDiff ""-6""]
[BlackRatingDiff ""+7""]
[WhiteTitle ""CM""]
[Variant ""Standard""]
[TimeControl ""180+0""]
[ECO ""B50""]
[Opening ""Sicilian Defense: Modern Variations""]
[Termination ""Time forfeit""]

1. e4 c5 2. Nf3 d6 3. c4 g6 4. d4 cxd4 5. Nxd4 Bg7 6. Nc3 Nc6 7. Be3 Nf6 8. Be2
Bd7 9. O-O O-O 10. Rc1 e6 11. Qd2 Rc8 12. b3 Ne5 13. h3 a6 14. Rfd1 Qa5 15. Qb2
b5 16. b4 Qd8 17. cxb5 axb5 18. f3 Nc4 19. Bxc4 bxc4 20. a4 d5 21. e5 Nh5 22.
f4 Ra8 23. b5 Qe7 24. Ra1 Bh6 25. Qf2 Qb4 26. Rdc1 Ng7 27. Rab1 Qe7 28. Kh2
Rfb8 29. g3 Ne8 30. h4 f6 31. exf6 Nxf6 32. Kg1 Ng4 33. Qe2 Nxe3 34. Qxe3 Bg7
35. Rd1 Qc5 36. Kf2 Rf8 37. Nf3 0-1",73,0,False,2.0,0.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
81T2N,2k1r2r/1p1q1pbp/p1p1p1p1/B1Q1P3/8/3B4/PPP3PP/1K3R2 b - - 2 21,d7d5 c5a7 d5e5 a5c3 e5b8 a7b8 c8b8 c3g7,2084,108,0,25,advantage middlegame veryLong,https://lichess.org/ShNs7rTr/black#42,,"[Event ""rated rapid game""]
[Site ""https://lichess.org/ShNs7rTr""]
[Date ""2019.07.04""]
[Round ""?""]
[White ""Pr0m3th3u2""]
[Black ""Dieren""]
[Result ""1-0""]
[GameId ""ShNs7rTr""]
[UTCDate ""2019.07.04""]
[UTCTime ""09:40:59""]
[WhiteElo ""1627""]
[BlackElo ""1667""]
[WhiteRatingDiff ""+11""]
[BlackRatingDiff ""-11""]
[Variant ""Standard""]
[TimeControl ""600+0""]
[ECO ""D00""]
[Opening ""Blackmar-Diemer Gambit Accepted: Ryder Gambit""]
[Termination ""Normal""]

1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3 5. Qxf3 c6 6. Be3 a6 7. O-O-O Bg4 8.
Qg3 Bxd1 9. Nxd1 e6 10. Bd3 Nbd7 11. Nf3 Qa5 12. Kb1 O-O-O 13. Rf1 Nd5 14. Bd2
Qc7 15. Ne5 Nxe5 16. dxe5 g6 17. Qe1 Re8 18. Ba5 Qd7 19. Nc3 Nxc3+ 20. Qxc3 Bg7
21. Qc5 Qd5 1-0",42,0,False,4.0,0.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
hAMc2,rn2k2r/p2b1pp1/4pq1p/1Pb1N3/2B1p3/2N5/1P3PPP/R2QK2R w KQkq - 0 13,e5d7 f6f2,1042,89,77,127,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/Vjzlx9KX#25,Slav_Defense Slav_Defense_Alapin_Variation,"[Event ""rated blitz game""]
[Site ""https://lichess.org/Vjzlx9KX""]
[Date ""2023.02.06""]
[Round ""?""]
[White ""jacareca""]
[Black ""FeelGood22""]
[Result ""0-1""]
[GameId ""Vjzlx9KX""]
[UTCDate ""2023.02.06""]
[UTCTime ""18:59:15""]
[WhiteElo ""1928""]
[BlackElo ""1983""]
[WhiteRatingDiff ""-5""]
[BlackRatingDiff ""+5""]
[Variant ""Standard""]
[TimeControl ""180+2""]
[ECO ""D16""]
[Opening ""Slav Defense: Alapin Variation""]
[Termination ""Normal""]

1. d4 Nf6 2. c4 c6 3. Nc3 d5 4. Nf3 dxc4 5. a4 Bd7 6. e4 b5 7. d5 cxd5 8. axb5
dxe4 9. Ne5 e6 10. Bxc4 Bc5 11. Bg5 h6 12. Bxf6 Qxf6 13. Nxd7 0-1",25,0,False,1.0,100.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
67qjz,2k5/pp2bpp1/1qn2np1/3p4/3P2P1/1P2BP2/P2NBK1r/R2Q2N1 w - - 1 18,f2g3 f6g4 f3g4 e7d6,2630,87,67,117,crushing master middlegame sacrifice short,https://lichess.org/LfWtBaEW#35,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System,"[Event ""rated blitz game""]
[Site ""https://lichess.org/LfWtBaEW""]
[Date ""2022.08.15""]
[Round ""?""]
[White ""Fohlenblitz17""]
[Black ""grinpavl""]
[Result ""1-0""]
[GameId ""LfWtBaEW""]
[UTCDate ""2022.08.15""]
[UTCTime ""15:42:26""]
[WhiteElo ""2018""]
[BlackElo ""2027""]
[WhiteRatingDiff ""+6""]
[BlackRatingDiff ""-6""]
[BlackTitle ""FM""]
[Variant ""Standard""]
[TimeControl ""180+0""]
[ECO ""D00""]
[Opening ""Queen's Pawn Game: Accelerated London System, Steinitz Countergambit""]
[Termination ""Normal""]

1. d4 d5 2. Bf4 c5 3. e3 Nc6 4. c3 Nf6 5. Nd2 cxd4 6. exd4 Qb6 7. b3 Bf5 8. Be2
e6 9. h4 Be7 10. g4 Be4 11. f3 Bg6 12. h5 O-O-O 13. hxg6 hxg6 14. Rxh8 Rxh8 15.
Kf2 e5 16. Be3 exd4 17. cxd4 Rh2+ 18. Kg3 1-0",35,0,False,2.0,0.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
61xYS,3r4/7p/p5p1/1p3p2/4k3/1P1p1R1P/P2K2P1/8 b - - 1 36,g6g5 f3e3 e4d4 e3d3 d4e4 d3d8,982,78,100,447,crushing endgame long rookEndgame skewer,https://lichess.org/t0B2viIr/black#72,,"[Event ""rated rapid game""]
[Site ""https://lichess.org/t0B2viIr""]
[Date ""2024.09.10""]
[Round ""?""]
[White ""CaneSolido""]
[Black ""soham_1612""]
[Result ""1-0""]
[GameId ""t0B2viIr""]
[UTCDate ""2024.09.10""]
[UTCTime ""07:43:33""]
[WhiteElo ""1639""]
[BlackElo ""1757""]
[WhiteRatingDiff ""+23""]
[BlackRatingDiff ""-15""]
[Variant ""Standard""]
[TimeControl ""600+0""]
[ECO ""C44""]
[Opening ""Scotch Game: Scotch Gambit""]
[Termination ""Normal""]

1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 d6 5. O-O Bg4 6. h3 Bxf3 7. Qxf3 Nf6 8.
Bg5 Be7 9. Bxf6 Bxf6 10. Nd2 O-O 11. Bd5 Ne5 12. Qb3 c6 13. Bc4 Nxc4 14. Nxc4
b6 15. Nd2 Re8 16. Qd3 c5 17. Nf3 d5 18. exd5 Qxd5 19. b3 Qd7 20. Rae1 b5 21.
c3 a6 22. cxd4 Bxd4 23. Nxd4 Qxd4 24. Qxd4 cxd4 25. Rxe8+ Rxe8 26. Rd1 Rd8 27.
f4 f5 28. Kf2 Kf7 29. Ke2 Ke6 30. Kd3 Kd5 31. Ke2 Ke4 32. Rd3 Kxf4 33. Rf3+ Ke4
34. Rg3 g6 35. Rf3 d3+ 36. Kd2 g5 1-0",72,0,False,3.0,0.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
GQULV,r5k1/q5pp/p4p2/1pQRpn2/8/PP3P2/2P4P/1N4K1 b - - 3 31,f5e3 d5d8 g8f7 c5f8 f7g6 d8a8,1697,76,69,80,advantage endgame long,https://lichess.org/8v7owazR/black#62,,"[Event ""rated rapid game""]
[Site ""https://lichess.org/8v7owazR""]
[Date ""2023.11.25""]
[Round ""?""]
[White ""Philroche""]
[Black ""Pavel_1986""]
[Result ""1/2-1/2""]
[GameId ""8v7owazR""]
[UTCDate ""2023.11.25""]
[UTCTime ""22:33:27""]
[WhiteElo ""1954""]
[BlackElo ""1897""]
[WhiteRatingDiff ""-1""]
[BlackRatingDiff ""+1""]
[Variant ""Standard""]
[TimeControl ""900+10""]
[ECO ""B45""]
[Opening ""Sicilian Defense: Four Knights Variation""]
[Termination ""Normal""]

1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Be2 Qc7 7. O-O a6 8.
Be3 Be7 9. Qd2 O-O 10. Rad1 b5 11. a3 Bb7 12. f4 d6 13. Bf3 e5 14. Nde2 Rfd8
15. f5 Na5 16. b3 Nc6 17. Ng3 Na7 18. Nb1 d5 19. exd5 Bxd5 20. Qf2 Bxf3 21.
gxf3 Nc8 22. Ne4 Nd6 23. Nxf6+ Bxf6 24. Bb6 Qb8 25. Bxd8 Bxd8 26. Rd5 Bb6 27.
Rc5 Bxc5 28. Qxc5 Nxf5 29. Re1 f6 30. Rd1 Qa7 31. Rd5 Ne3 1/2-1/2",62,0,False,3.0,0.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
Wj9UW,r4rk1/1p3p1p/2b3p1/2PpPpQ1/7N/4R2P/3q1PP1/4R1K1 b - - 3 28,d5d4 h4f5 f7f6 g5h6,2409,88,90,118,advantage middlegame pin short,https://lichess.org/U6SP4a3R/black#56,,"[Event ""rated rapid game""]
[Site ""https://lichess.org/U6SP4a3R""]
[Date ""2024.01.08""]
[Round ""?""]
[White ""peter-br""]
[Black ""Framon57""]
[Result ""1-0""]
[GameId ""U6SP4a3R""]
[UTCDate ""2024.01.08""]
[UTCTime ""14:42:33""]
[WhiteElo ""1944""]
[BlackElo ""2083""]
[WhiteRatingDiff ""+8""]
[BlackRatingDiff ""-8""]
[Variant ""Standard""]
[TimeControl ""600+0""]
[ECO ""C02""]
[Opening ""French Defense: Advance Variation, Paulsen Attack""]
[Termination ""Normal""]

1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 cxd4 6. cxd4 Qb6 7. a3 Nge7 8. Bd3
Bd7 9. Bc2 Nf5 10. Bxf5 exf5 11. O-O Be7 12. b4 O-O 13. Be3 a5 14. bxa5 Nxa5
15. Nbd2 Bb5 16. Rb1 Qa6 17. Re1 Bxa3 18. Nb3 Nc4 19. Nc5 Bxc5 20. dxc5 Bc6 21.
Qd4 Qa4 22. h3 Nxe3 23. Qxe3 Qe4 24. Qg5 Qc2 25. Rbc1 Qd3 26. Nh4 g6 27. Re3
Qd2 28. Rce1 d4 1-0",56,0,False,2.0,50.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
vfSr7,2r1k2r/1p1b1ppp/1q2p3/3pPn2/1b1P4/3Q1N2/3N1PPP/1R2KB1R b Kk - 1 15,c8c3 d3c3 b4c3 b1b6,1492,76,95,138,crushing middlegame short,https://lichess.org/eeojKpqm/black#30,French_Defense French_Defense_Advance_Variation,"[Event ""rated rapid game""]
[Site ""https://lichess.org/eeojKpqm""]
[Date ""2022.02.24""]
[Round ""?""]
[White ""mastermmmm""]
[Black ""JoeTecee""]
[Result ""0-1""]
[GameId ""eeojKpqm""]
[UTCDate ""2022.02.24""]
[UTCTime ""12:10:04""]
[WhiteElo ""1685""]
[BlackElo ""1718""]
[WhiteRatingDiff ""-6""]
[BlackRatingDiff ""+5""]
[Variant ""Standard""]
[TimeControl ""600+5""]
[ECO ""C02""]
[Opening ""French Defense: Advance Variation, Main Line""]
[Termination ""Normal""]

1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Nge7 7. b4 cxd4 8. cxd4
Nf5 9. Bb2 Bd7 10. Qd3 Rc8 11. Nbd2 a5 12. Bc3 axb4 13. axb4 Nxb4 14. Bxb4 Bxb4
15. Rb1 Rc3 0-1",30,0,False,2.0,0.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
Zl5NQ,4k3/1pp1ppbp/8/n5Qq/p2PB1b1/P4N2/1PP2PrP/R3K2R b KQ - 7 17,g4f3 g5h5 f3h5 e4g2,1579,74,93,2565,advantage middlegame short,https://lichess.org/wx0lAIV2/black#34,Borg_Defense Borg_Defense_Other_variations,"[Event ""rated rapid game""]
[Site ""https://lichess.org/wx0lAIV2""]
[Date ""2021.08.09""]
[Round ""?""]
[White ""Siayd_1""]
[Black ""ninepawn""]
[Result ""1-0""]
[GameId ""wx0lAIV2""]
[UTCDate ""2021.08.09""]
[UTCTime ""09:53:23""]
[WhiteElo ""1995""]
[BlackElo ""2060""]
[WhiteRatingDiff ""+26""]
[BlackRatingDiff ""-33""]
[Variant ""Standard""]
[TimeControl ""900+10""]
[ECO ""B00""]
[Opening ""Borg Defense""]
[Termination ""Normal""]

1. e4 g5 2. d4 g4 3. Nc3 a5 4. Qxg4 a4 5. a3 Ra5 6. Qd1 Nc6 7. Nf3 Nf6 8. Bd2
d5 9. Nxd5 Nxd5 10. Bxa5 Nxa5 11. exd5 Qxd5 12. Be2 Rg8 13. Qd2 Rxg2 14. Qe3
Bg7 15. Bd3 Bg4 16. Be4 Qh5 17. Qg5 Bxf3 1-0",34,0,False,2.0,0.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
vb2YE,r1b2rk1/pp3p1p/5Qp1/2pN1P2/4P3/4q2P/PPPn2P1/R4R1K b - - 2 19,d2e4 d5e7,1174,117,71,63,mate mateIn1 middlegame oneMove,https://lichess.org/t74o6vW3/black#38,Caro-Kann_Defense Caro-Kann_Defense_Other_variations,"[Event ""rated rapid game""]
[Site ""https://lichess.org/t74o6vW3""]
[Date ""2021.09.20""]
[Round ""?""]
[White ""vbhevbh""]
[Black ""nur_nss""]
[Result ""1-0""]
[GameId ""t74o6vW3""]
[UTCDate ""2021.09.20""]
[UTCTime ""09:08:19""]
[WhiteElo ""1977""]
[BlackElo ""1999""]
[WhiteRatingDiff ""+7""]
[BlackRatingDiff ""-6""]
[Variant ""Standard""]
[TimeControl ""600+0""]
[ECO ""B12""]
[Opening ""Caro-Kann Defense""]
[Termination ""Normal""]

1. e4 c6 2. d4 d6 3. Bd3 g6 4. Be3 Bg7 5. h3 e5 6. Nf3 exd4 7. Bxd4 Bxd4 8.
Nxd4 Nf6 9. O-O O-O 10. f4 c5 11. Ne2 Nc6 12. f5 Qe7 13. Ng3 Qe5 14. Nc3 Qxg3
15. Bc4 Ne5 16. Qxd6 Qe3+ 17. Kh1 Nxc4 18. Qxf6 Nd2 19. Nd5 Nxe4 1-0",38,0,False,1.0,100.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
QBDks,1r5r/2k4q/8/6pp/2N2p2/3PnQ2/2P3PP/R5K1 b - - 3 32,b8a8 a1a8 h8a8 f3a8,1109,78,94,2040,advantage middlegame short,https://lichess.org/5aNXDzaF/black#64,,"[Event ""rated rapid game""]
[Site ""https://lichess.org/5aNXDzaF""]
[Date ""2017.10.29""]
[Round ""?""]
[White ""serkanayzit""]
[Black ""parabel""]
[Result ""1-0""]
[GameId ""5aNXDzaF""]
[UTCDate ""2017.10.29""]
[UTCTime ""10:23:00""]
[WhiteElo ""1818""]
[BlackElo ""1801""]
[WhiteRatingDiff ""+11""]
[BlackRatingDiff ""-9""]
[Variant ""Standard""]
[TimeControl ""600+0""]
[ECO ""B00""]
[Opening ""Owen Defense""]
[Termination ""Normal""]

1. e4 b6 2. Nf3 Bb7 3. d3 e6 4. Be2 Qf6 5. O-O Qg6 6. Nc3 h5 7. Ne5 Qh7 8. f4
f6 9. Nc4 Bc5+ 10. Be3 Bxe3+ 11. Nxe3 Nc6 12. f5 Nge7 13. fxe6 dxe6 14. Nb5
O-O-O 15. Qe1 a6 16. Na3 Nd4 17. Rc1 Nxe2+ 18. Qxe2 g5 19. b4 f5 20. exf5 exf5
21. b5 Rde8 22. bxa6 Bxa6 23. Nec4 Kb8 24. Rb1 Nd5 25. Qf2 Bxc4 26. Nxc4 f4 27.
a4 Ne3 28. a5 Nxf1 29. axb6 Ne3 30. bxc7+ Kxc7 31. Qf3 Rb8 32. Ra1 Ra8 1-0",64,0,False,2.0,0.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
WPxsy,rn2rqk1/pp3p2/2p2p1p/7Q/4P3/3B3N/PPP3PP/5RK1 b - - 5 21,b8d7 h5g4 g8h8 g4d7,1710,76,96,22766,advantage fork middlegame short,https://lichess.org/5b8oZs0i/black#42,,"[Event ""rated rapid game""]
[Site ""https://lichess.org/5b8oZs0i""]
[Date ""2020.05.20""]
[Round ""?""]
[White ""mimooh""]
[Black ""crazykingggddert""]
[Result ""0-1""]
[GameId ""5b8oZs0i""]
[UTCDate ""2020.05.20""]
[UTCTime ""14:57:36""]
[WhiteElo ""1939""]
[BlackElo ""1941""]
[WhiteRatingDiff ""-6""]
[BlackRatingDiff ""+6""]
[Variant ""Standard""]
[TimeControl ""600+5""]
[ECO ""C36""]
[Opening ""King's Gambit Accepted: Modern Defense""]
[Termination ""Normal""]

1. e4 e5 2. f4 exf4 3. Nf3 d5 4. exd5 Qxd5 5. Nc3 Qd8 6. Bb5+ c6 7. Bc4 Bd6 8.
O-O Ne7 9. Ne4 O-O 10. d3 Bc7 11. Nfg5 Nd5 12. Qh5 Bf5 13. Nh3 Bxe4 14. dxe4
Nf6 15. Qe2 h6 16. Bxf4 Re8 17. Bxc7 Qxc7 18. Rxf6 gxf6 19. Qh5 Qe7 20. Bd3 Qf8
21. Rf1 Nd7 0-1",42,0,False,2.0,0.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
sY8ts,7k/p5pp/1p6/2pP4/2P5/PPbn1NP1/2N1r1KP/3R4 w - - 2 32,g2f1 e2f2 f1g1 f2f3,1241,76,89,1658,advantage endgame fork master short,https://lichess.org/duhQi1TM#63,,"[Event ""rated blitz game""]
[Site ""https://lichess.org/duhQi1TM""]
[Date ""2021.04.26""]
[Round ""?""]
[White ""theken""]
[Black ""Aminmolaei""]
[Result ""0-1""]
[GameId ""duhQi1TM""]
[UTCDate ""2021.04.26""]
[UTCTime ""14:37:50""]
[WhiteElo ""2573""]
[BlackElo ""2570""]
[WhiteRatingDiff ""-6""]
[BlackRatingDiff ""+5""]
[BlackTitle ""IM""]
[Variant ""Standard""]
[TimeControl ""180+0""]
[ECO ""A40""]
[Opening ""English Defense""]
[Termination ""Normal""]

1. d4 e6 2. c4 b6 3. e4 Bb7 4. Bd3 f5 5. exf5 Bb4+ 6. Kf1 Nf6 7. fxe6 O-O 8.
Nf3 dxe6 9. Bg5 Qe8 10. a3 Bd6 11. Nbd2 Nbd7 12. Qe2 Qh5 13. Qxe6+ Kh8 14. Qf5
Rae8 15. Bxf6 Nxf6 16. Qxh5 Nxh5 17. Re1 Rxe1+ 18. Nxe1 Re8 19. Be2 Nf4 20. Bf3
Ba6 21. g3 Ne6 22. Nc2 c5 23. d5 Ng5 24. Be2 Be5 25. b3 Bc3 26. Nf3 Ne4 27. Bd3
Bc8 28. Kg2 Bh3+ 29. Kxh3 Nxf2+ 30. Kg2 Nxd3 31. Rd1 Re2+ 32. Kf1 0-1",63,0,False,2.0,100.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
crRBZ,7r/R4pk1/2Q1p3/3p2b1/1p1P2p1/1P2P1P1/5P2/4qNK1 w - - 3 40,c6e6 h8h1 g1h1 e1f1 h1h2 f1f2,1524,75,93,1047,attraction crushing deflection endgame long master sacrifice,https://lichess.org/Sc5ovMqy#79,,"[Event ""rated blitz game""]
[Site ""https://lichess.org/Sc5ovMqy""]
[Date ""2024.02.09""]
[Round ""?""]
[White ""HisukaXHunter""]
[Black ""Katinbakkie""]
[Result ""1/2-1/2""]
[GameId ""Sc5ovMqy""]
[UTCDate ""2024.02.09""]
[UTCTime ""21:59:10""]
[WhiteElo ""2430""]
[BlackElo ""2495""]
[WhiteRatingDiff ""+1""]
[BlackRatingDiff ""-1""]
[BlackTitle ""IM""]
[Variant ""Standard""]
[TimeControl ""180+0""]
[ECO ""A45""]
[Opening ""Indian Defense""]
[Termination ""Normal""]

1. d4 Nf6 2. Bf4 Nh5 3. Bc1 Nf6 4. Bf4 Nh5 5. Bc1 g6 6. Nf3 d5 7. c4 c6 8. Nc3
Bg7 9. cxd5 cxd5 10. Bg5 Nc6 11. e3 h6 12. Bh4 g5 13. Bg3 Nxg3 14. hxg3 e6 15.
Bd3 Qb6 16. Qe2 Bd7 17. O-O O-O 18. Rac1 Rac8 19. Na4 Qd8 20. Nc5 b6 21. Nxd7
Qxd7 22. Bb5 Qd6 23. b3 Bf6 24. Rc3 Nb4 25. Rfc1 Rxc3 26. Rxc3 a6 27. Bd3 g4
28. Nh2 h5 29. a3 Nxd3 30. Qxd3 Qxa3 31. Nf1 Qa1 32. Rc6 b5 33. Qc2 Kg7 34. Rb6
Qe1 35. Rxa6 b4 36. Ra7 h4 37. gxh4 Bxh4 38. g3 Bg5 39. Qc6 Rh8 40. Qxe6
1/2-1/2",79,0,False,3.0,100.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
2w1sC,r4rk1/ppqn1p2/2pb1n1B/3p4/3P4/2PB1b1P/PPQN1P2/R4RK1 w - - 0 16,h6f8 d6h2,974,77,91,242,mate mateIn1 middlegame oneMove,https://lichess.org/NAo47mLH#31,French_Defense French_Defense_Exchange_Variation,"[Event ""rated blitz game""]
[Site ""https://lichess.org/NAo47mLH""]
[Date ""2023.11.01""]
[Round ""?""]
[White ""tonkohlbeck""]
[Black ""Roy3912""]
[Result ""0-1""]
[GameId ""NAo47mLH""]
[UTCDate ""2023.11.01""]
[UTCTime ""21:05:18""]
[WhiteElo ""1948""]
[BlackElo ""1957""]
[WhiteRatingDiff ""-6""]
[BlackRatingDiff ""+5""]
[Variant ""Standard""]
[TimeControl ""180+2""]
[ECO ""C01""]
[Opening ""French Defense: Exchange Variation""]
[Termination ""Normal""]

1. e4 e6 2. d4 d5 3. exd5 exd5 4. Bd3 Nf6 5. Bg5 h6 6. Bh4 c6 7. Nf3 Bg4 8.
Nbd2 Bd6 9. c3 Nbd7 10. O-O O-O 11. Qc2 Qc7 12. h3 Bh5 13. g4 g5 14. Bxg5 Bxg4
15. Bxh6 Bxf3 16. Bxf8 0-1",31,0,False,1.0,0.0,,,,,,,,,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,0.0,0,0,0,0,0,0,0,0,,,,,,0,False,False,False,False,,,,0,0,True,,
